meter_type,unit,factor_kgco2e_per_unit,region,source,source_year,document_reference,valid_from,valid_to,is_active,notes,energy_content_gj_per_unit
electricity,kWh,0.727,IN,"CEA CO2 Baseline Database for the Indian Power Sector, Version 20.0",2024,"Weighted average grid emission factor incl. RES, FY 2023-24 (cea.nic.in, published Dec 2024)",2024-04-01,2025-10-31,t,Location-based Scope 2 factor (GHG Protocol). Superseded by V21.0 from Nov 2025.,0.0036
electricity,kWh,0.7117,IN,"CEA CO2 Baseline Database for the Indian Power Sector, Version 21.0",2025,"Weighted average grid emission factor incl. RES & captive, excl. imports, FY 2024-25 (User Guide V21.0, cea.nic.in, published Nov 2025)",2025-11-01,,t,Location-based Scope 2 factor (GHG Protocol). One secondary source cites 0.710 provisional — verify against official CEA Excel before formal disclosure.,0.0036
diesel,litres,2.57082,IN,UK Government GHG Conversion Factors for Company Reporting 2025 (DEFRA/DESNZ),2025,"Fuels — Diesel (average biofuel blend), kgCO2e per litre",2025-01-01,,t,Scope 1 (DG sets). DEFRA fuel combustion factors are globally applicable. Average biofuel blend; 100% mineral diesel factor is slightly higher — to be verified and added if needed.,0.0363
coal,kg,2.441,IN,IPCC 2006 Guidelines for National Greenhouse Gas Inventories,2006,"Vol 2 Ch 1 Table 1.2 (NCV, Other Bituminous Coal, 25.8 GJ/tonne) x Vol 2 Ch 2 Table 2.2 (CO2 factor, 94.6 kgCO2/GJ) -- Tier 1 generic default",2006-01-01,,t,"Scope 1 (Boiler/Furnace). GENERIC DEFAULT -- not calibrated to actual coal grade/GCV. Refine with plant-specific GCV certificate when known. CO2-only Tier 1 approximation (CH4/N2O contribution excluded, negligible).",0.0258
furnace_oil,kg,3.127,IN,IPCC 2006 Guidelines for National Greenhouse Gas Inventories,2006,"Vol 2 Ch 1 Table 1.2 (NCV, Residual Fuel Oil, 40.4 GJ/tonne) x Vol 2 Ch 2 Table 2.2 (CO2 factor, 77.4 kgCO2/GJ) -- Tier 1 generic default",2006-01-01,,t,"Scope 1 (Boiler/Furnace). Generic default, CO2-only Tier 1 approximation.",0.0404
biomass,kg,1.747,IN,IPCC 2006 Guidelines for National Greenhouse Gas Inventories,2006,"Vol 2 Ch 1 Table 1.2 (NCV, Wood/Wood Waste, 15.6 GJ/tonne) x Vol 2 Ch 2 Table 2.2 (CO2 factor, 112 kgCO2/GJ) -- Tier 1 generic default",2006-01-01,,t,"KNOWN LIMITATION -- biogenic CO2: per GHG Protocol, biomass combustion CO2 is conventionally biogenic and reported separately from the fossil Scope 1 total (only its CH4/N2O counts toward compliance totals). This factor currently feeds into scope_1 like a fossil fuel pending a proper biogenic-accounting fix (planned for Phase 9 / BRSR-CSRD hardening).",0.0156
natural_gas,SCM,2.041,IN,IPCC 2006 Guidelines for National Greenhouse Gas Inventories,2006,"Vol 2 Ch 1 Table 1.2 (NCV, Natural Gas, ~36.4 MJ/SCM typical) x Vol 2 Ch 2 Table 2.2 (CO2 factor, 56.1 kgCO2/GJ) -- Tier 1 generic default",2006-01-01,,t,Scope 1 (Boiler/Furnace/heating). GENERIC DEFAULT -- refine with actual gas supplier's calorific value certificate when known.,0.0364
lpg,kg,2.985,IN,IPCC 2006 Guidelines for National Greenhouse Gas Inventories,2006,"Vol 2 Ch 1 Table 1.2 (NCV, LPG, 47.3 GJ/tonne) x Vol 2 Ch 2 Table 2.2 (CO2 factor, 63.1 kgCO2/GJ) -- Tier 1 generic default",2006-01-01,,t,"Scope 1 (Boiler/Furnace/DG). Generic default, CO2-only Tier 1 approximation.",0.0473
petroleum_coke,kg,3.183,IN,IPCC 2006 Guidelines Vol 2 (GHG Protocol Cross-Sector Tools EF workbook),2006,"Stationary Combustion: Petroleum coke, CO2/CH4/N2O combined via AR5 GWP",2006-01-01,,t,"Scope 1 process/combustion fuel (Cement, Refineries). CO2e incl. CH4/N2O (AR5). Tier 1 default.",0.0325
coke_oven_coke,kg,3.0365,IN,IPCC 2006 Guidelines Vol 2 (GHG Protocol Cross-Sector Tools EF workbook),2006,"Stationary Combustion: Coke oven coke, CO2/CH4/N2O combined via AR5 GWP",2006-01-01,,t,Scope 1 fuel (Iron & Steel). CO2e incl. CH4/N2O (AR5). Tier 1 default.,0.0282
